
7 processes distributed in X-direction
 1 ; processes distributed in Y-direction







Num-X: 7 ; Num-Y: 1 ; Resolution: 200 ; Rank: 3 ; Rank-X: 3 Rank-Y: 0 ; Rows: 30; Cols: 201
Num-X: 7 ; Num-Y: 1 ; Resolution: 200 ; Rank: 1 ; Rank-X: 1 Rank-Y: 0 ; Rows: 30; Cols: 201
Num-X: 7 ; Num-Y: 1 ; Resolution: 200 ; Rank: 4 ; Rank-X: 4 Rank-Y: 0 ; Rows: 30; Cols: 201
Num-X: 7 ; Num-Y: 1 ; Resolution: 200 ; Rank: 2 ; Rank-X: 2 Rank-Y: 0 ; Rows: 30; Cols: 201
Num-X: 7 ; Num-Y: 1 ; Resolution: 200 ; Rank: 5 ; Rank-X: 5 Rank-Y: 0 ; Rows: 30; Cols: 201
Num-X: 7 ; Num-Y: 1 ; Resolution: 200 ; Rank: 6 ; Rank-X: 6 Rank-Y: 0 ; Rows: 28; Cols: 201
Num-X: 7 ; Num-Y: 1 ; Resolution: 200 ; Rank: 0 ; Rank-X: 0 Rank-Y: 0 ; Rows: 30; Cols: 201
Num-X: 7 ; Num-Y: 1 ; Resolution: 300 ; Rank: 3 ; Rank-X: 3 Rank-Y: 0 ; Rows: 44; Cols: 301
Num-X: 7 ; Num-Y: 1 ; Resolution: 300 ; Rank: 4 ; Rank-X: 4 Rank-Y: 0 ; Rows: 44; Cols: 301
Num-X: 7 ; Num-Y: 1 ; Resolution: 300 ; Rank: 2 ; Rank-X: 2 Rank-Y: 0 ; Rows: 44; Cols: 301
Num-X: 7 ; Num-Y: 1 ; Resolution: 300 ; Rank: 5 ; Rank-X: 5 Rank-Y: 0 ; Rows: 44; Cols: 301
Num-X: 7 ; Num-Y: 1 ; Resolution: 300 ; Rank: 0 ; Rank-X: 0 Rank-Y: 0 ; Rows: 44; Cols: 301
Num-X: 7 ; Num-Y: 1 ; Resolution: 300 ; Rank: 1 ; Rank-X: 1 Rank-Y: 0 ; Rows: 44; Cols: 301
Num-X: 7 ; Num-Y: 1 ; Resolution: 300 ; Rank: 6 ; Rank-X: 6 Rank-Y: 0 ; Rows: 44; Cols: 301
